TimestampKST,GNSSTime,Latitude,Longitude,FixType,HPE(m),NorthingError(m),EastingError(m),MessageRate(Hz)
2025-07-05 22:48:25.687421+09:00,13:48:26.180000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.727214+09:00,13:48:26.210000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.760362+09:00,13:48:26.240000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.784220+09:00,13:48:26.280000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.814349+09:00,13:48:26.310000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.855704+09:00,13:48:26.340000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.887635+09:00,13:48:26.370000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.919542+09:00,13:48:26.410000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.940532+09:00,13:48:26.440000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:25.973255+09:00,13:48:26.470000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:26.020448+09:00,13:48:26.510000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:26.047443+09:00,13:48:26.540000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:26.080326+09:00,13:48:26.570000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:26.114025+09:00,13:48:26.610000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:26.142360+09:00,13:48:26.640000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,33
2025-07-05 22:48:26.187863+09:00,13:48:26.670000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.207549+09:00,13:48:26.700000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.249141+09:00,13:48:26.740000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.276863+09:00,13:48:26.770000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.306421+09:00,13:48:26.800000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.346165+09:00,13:48:26.840000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.381777+09:00,13:48:26.870000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.415647+09:00,13:48:26.900000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.435894+09:00,13:48:26.940000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.548913+09:00,13:48:26.970000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.556335+09:00,13:48:27,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.559335+09:00,13:48:27.030000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,30
2025-07-05 22:48:26.567428+09:00,13:48:27.070000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
2025-07-05 22:48:26.612290+09:00,13:48:27.100000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
